Country,City,Month,Day,Year,AvgTemperature
Malawi,Lilongwe,7,14,1996,-99
Malawi,Lilongwe,7,15,1996,-99
Malawi,Lilongwe,7,16,1996,-99
Malawi,Lilongwe,7,17,1996,-99
Malawi,Lilongwe,7,18,1996,-99
Malawi,Lilongwe,7,19,1996,-99
Malawi,Lilongwe,7,20,1996,-99
Malawi,Lilongwe,7,21,1996,-99
Malawi,Lilongwe,7,22,1996,-99
Malawi,Lilongwe,7,23,1996,-99
Malawi,Lilongwe,7,24,1996,-99
Malawi,Lilongwe,7,25,1996,-99
Malawi,Lilongwe,7,26,1996,-99
Malawi,Lilongwe,7,27,1996,-99
Malawi,Lilongwe,7,28,1996,-99
Malawi,Lilongwe,7,29,1996,-99
Malawi,Lilongwe,7,30,1996,-99
Malawi,Lilongwe,7,31,1996,-99
Malawi,Lilongwe,8,1,1996,-99
Malawi,Lilongwe,8,2,1996,-99
Malawi,Lilongwe,8,3,1996,-99
Malawi,Lilongwe,8,4,1996,63.6
Malawi,Lilongwe,8,5,1996,59.2
Malawi,Lilongwe,8,6,1996,70.4
Malawi,Lilongwe,8,7,1996,65.2
Malawi,Lilongwe,8,8,1996,67.6
Malawi,Lilongwe,8,9,1996,65.5
Malawi,Lilongwe,8,10,1996,67.7
Malawi,Lilongwe,8,11,1996,64.1
Malawi,Lilongwe,8,12,1996,59.5
Malawi,Lilongwe,8,13,1996,61.9
Malawi,Lilongwe,8,14,1996,63.4
Malawi,Lilongwe,8,15,1996,63.5
Malawi,Lilongwe,8,16,1996,59.7
Malawi,Lilongwe,8,17,1996,61
Malawi,Lilongwe,8,18,1996,61.8
Malawi,Lilongwe,8,19,1996,65.8
Malawi,Lilongwe,8,20,1996,65.7
Malawi,Lilongwe,8,21,1996,67.6
Malawi,Lilongwe,8,22,1996,61.9
Malawi,Lilongwe,8,23,1996,59.5
Malawi,Lilongwe,8,24,1996,59.2
Malawi,Lilongwe,8,25,1996,56.6
Malawi,Lilongwe,8,26,1996,62.9
Malawi,Lilongwe,8,27,1996,68
Malawi,Lilongwe,8,28,1996,64.9
Malawi,Lilongwe,8,29,1996,64.2
Malawi,Lilongwe,8,30,1996,60.5
Malawi,Lilongwe,8,31,1996,63.9
Malawi,Lilongwe,9,1,1996,61.8
Malawi,Lilongwe,9,2,1996,-99
Malawi,Lilongwe,9,3,1996,62.4
Malawi,Lilongwe,9,4,1996,64.6
Malawi,Lilongwe,9,5,1996,65.1
Malawi,Lilongwe,9,6,1996,66.1
Malawi,Lilongwe,9,7,1996,68.5
Malawi,Lilongwe,9,8,1996,71.3
Malawi,Lilongwe,9,9,1996,71
Malawi,Lilongwe,9,10,1996,-99
